fixture_id,competition,season,match_time,home_team_id,away_team_id,neutral_field,result_status,home_score,away_score,opponent_team_id,source_fixture_id,source_result_id,available_at
recent_result_1874034,WCQ,2025,2025-10-12T00:00:00+00:00,team_romania,team_austria,false,closed,1,0,team_romania,1874034,1874034:result,2026-06-10T18:30:00+08:00
recent_result_1874085,WCQ,2025,2025-10-14T00:00:00+00:00,team_latvia,team_england,false,closed,0,5,team_latvia,1874085,1874085:result,2026-06-10T18:30:00+08:00
recent_result_1896712,WCQ,2025,2025-10-14T00:00:00+00:00,team_portugal,team_hungary,false,closed,2,2,team_hungary,1896712,1896712:result,2026-06-10T18:30:00+08:00
recent_result_1874088,WCQ,2025,2025-11-13T00:00:00+00:00,team_england,team_serbia,false,closed,2,0,team_serbia,1874088,1874088:result,2026-06-10T18:30:00+08:00
recent_result_1874122,WCQ,2025,2025-11-13T00:00:00+00:00,team_norway,team_estonia,false,closed,4,1,team_estonia,1874122,1874122:result,2026-06-10T18:30:00+08:00
recent_result_1896700,WCQ,2025,2025-11-13T00:00:00+00:00,team_france,team_ukraine,false,closed,4,0,team_ukraine,1896700,1896700:result,2026-06-10T23:10:00+08:00
recent_result_1896711,WCQ,2025,2025-11-13T00:00:00+00:00,team_ireland,team_portugal,false,closed,2,0,team_ireland,1896711,1896711:result,2026-06-10T18:30:00+08:00
recent_result_1896718,WCQ,2025,2025-11-14T00:00:00+00:00,team_poland,team_netherlands,false,closed,1,1,team_poland,1896718,1896718:result,2026-06-10T18:30:00+08:00
recent_result_1896735,WCQ,2025,2025-11-14T00:00:00+00:00,team_croatia,team_faroe_islands,false,closed,3,1,team_faroe_islands,1896735,1896735:result,2026-06-10T18:30:00+08:00
recent_result_1906917,WCQ,2025,2025-11-14T00:00:00+00:00,team_haiti,team_costa_rica,false,closed,1,0,team_costa_rica,1906917,1906917:result,2026-06-10T18:30:00+08:00
recent_result_1874013,WCQ,2025,2025-11-15T00:00:00+00:00,team_switzerland,team_sweden,false,closed,4,1,team_switzerland,1874013,1874013:result,2026-06-10T18:30:00+08:00
recent_result_1874035,WCQ,2025,2025-11-15T00:00:00+00:00,team_cyprus,team_austria,false,closed,0,2,team_cyprus,1874035,1874035:result,2026-06-10T18:30:00+08:00
recent_result_1874040,WCQ,2025,2025-11-15T00:00:00+00:00,team_greece,team_scotland,false,closed,3,2,team_greece,1874040,1874040:result,2026-06-10T18:30:00+08:00
recent_result_1874053,WCQ,2025,2025-11-15T00:00:00+00:00,team_turkiye,team_bulgaria,false,closed,2,0,team_bulgaria,1874053,1874053:result,2026-06-10T18:30:00+08:00
recent_result_1874107,WCQ,2025,2025-11-15T00:00:00+00:00,team_kazakhstan,team_belgium,false,closed,1,1,team_kazakhstan,1874107,1874107:result,2026-06-10T18:30:00+08:00
recent_result_1874089,WCQ,2025,2025-11-16T00:00:00+00:00,team_albania,team_england,false,closed,0,2,team_albania,1874089,1874089:result,2026-06-10T18:30:00+08:00
recent_result_1896699,WCQ,2025,2025-11-16T00:00:00+00:00,team_azerbaijan,team_france,false,closed,1,3,team_azerbaijan,1896699,1896699:result,2026-06-10T23:10:00+08:00
recent_result_1896710,WCQ,2025,2025-11-16T00:00:00+00:00,team_portugal,team_armenia,false,closed,9,1,team_armenia,1896710,1896710:result,2026-06-10T18:30:00+08:00
recent_result_1896728,WCQ,2025,2025-11-16T00:00:00+00:00,team_italy,team_norway,false,closed,1,4,team_italy,1896728,1896728:result,2026-06-10T18:30:00+08:00
recent_result_1874070,World Cup Qualification UEFA,2025,2025-11-17T00:00:00+00:00,team_czechia,team_gibraltar,false,closed,6,0,team_gibraltar,1874070,1874070:result,2026-06-10T23:10:00+08:00
recent_result_1896688,WCQ,2025,2025-11-17T00:00:00+00:00,team_germany,team_slovakia,false,closed,6,0,team_slovakia,1896688,1896688:result,2026-06-10T18:30:00+08:00
recent_result_1896720,WCQ,2025,2025-11-17T00:00:00+00:00,team_netherlands,team_lithuania,false,closed,4,0,team_lithuania,1896720,1896720:result,2026-06-10T18:30:00+08:00
recent_result_1896734,WCQ,2025,2025-11-17T00:00:00+00:00,team_montenegro,team_croatia,false,closed,2,3,team_montenegro,1896734,1896734:result,2026-06-10T18:30:00+08:00
recent_result_1874014,WCQ,2025,2025-11-18T00:00:00+00:00,team_kosovo,team_switzerland,false,closed,1,1,team_kosovo,1874014,1874014:result,2026-06-10T18:30:00+08:00
recent_result_1874015,WCQ,2025,2025-11-18T00:00:00+00:00,team_sweden,team_slovenia,false,closed,1,1,team_slovenia,1874015,1874015:result,2026-06-10T18:30:00+08:00
recent_result_1874037,WCQ,2025,2025-11-18T00:00:00+00:00,team_austria,team_bosnia_and_herzegovina,false,closed,1,1,team_bosnia_and_herzegovina,1874037,1874037:result,2026-06-10T18:30:00+08:00
recent_result_1874109,WCQ,2025,2025-11-18T00:00:00+00:00,team_belgium,team_liechtenstein,false,closed,7,0,team_liechtenstein,1874109,1874109:result,2026-06-10T18:30:00+08:00
recent_result_1896692,WCQ,2025,2025-11-18T00:00:00+00:00,team_scotland,team_denmark,false,closed,4,2,team_denmark,1896692,1896692:result,2026-06-10T18:30:00+08:00
recent_result_1896703,WCQ,2025,2025-11-18T00:00:00+00:00,team_spain,team_turkiye,false,closed,2,2,team_turkiye,1896703,1896703:result,2026-06-10T18:30:00+08:00
recent_result_1906920,WCQ,2025,2025-11-19T00:00:00+00:00,team_haiti,team_nicaragua,false,closed,2,0,team_nicaragua,1906920,1906920:result,2026-06-10T18:30:00+08:00
recent_result_1887343,ACoN,2025,2025-12-29T00:00:00+00:00,team_zimbabwe,team_south_africa,false,closed,2,3,team_zimbabwe,1887343,1887343:result,2026-06-10T18:30:00+08:00
recent_result_1887355,Africa Cup of Nations,2025,2025-12-30T00:00:00+00:00,team_botswana,team_congo_dr,false,closed,0,3,team_botswana,1887355,1887355:result,2026-06-10T23:50:00+08:00
recent_result_1959998,Africa Cup of Nations,2026,2026-01-03T00:00:00+00:00,team_mali,team_tunisia,false,closed,1,1,team_mali,1959998,1959998:result,2026-06-10T23:10:00+08:00
recent_result_1960003,ACoN,2026,2026-01-04T00:00:00+00:00,team_south_africa,team_cameroon,false,closed,1,2,team_cameroon,1960003,1960003:result,2026-06-10T18:30:00+08:00
recent_result_1959999,Africa Cup of Nations,2026,2026-01-06T00:00:00+00:00,team_algeria,team_congo_dr,false,closed,1,0,team_algeria,1959999,1959999:result,2026-06-10T23:50:00+08:00
recent_result_1960002,ACoN,2026,2026-01-06T00:00:00+00:00,team_cote_d_ivoire,team_burkina_faso,false,closed,3,0,team_burkina_faso,1960002,1960002:result,2026-06-10T23:50:00+08:00
recent_result_1960770,Africa Cup of Nations,2026,2026-01-10T00:00:00+00:00,team_algeria,team_nigeria,false,closed,0,2,team_nigeria,1960770,1960770:result,2026-06-10T23:10:00+08:00
recent_result_1960779,ACoN,2026,2026-01-10T00:00:00+00:00,team_egypt,team_cote_d_ivoire,false,closed,3,2,team_egypt,1960779,1960779:result,2026-06-10T23:50:00+08:00
recent_result_1963377,Africa Cup of Nations,2026,2026-01-17T00:00:00+00:00,team_egypt,team_nigeria,false,closed,0,0,team_nigeria,1963377,1963377:result,2026-06-10T23:10:00+08:00
recent_result_1960167,IF,2026,2026-01-18T00:00:00+00:00,team_canada,team_guatemala,false,closed,1,0,team_guatemala,1960167,1960167:result,2026-06-10T23:10:00+08:00
recent_result_1963376,Africa Cup of Nations,2026,2026-01-18T00:00:00+00:00,team_senegal,team_morocco,false,closed,1,0,team_morocco,1963376,1963376:result,2026-06-10T23:10:00+08:00
recent_result_1955718,IF,2026,2026-01-23T00:00:00+00:00,team_mexico,team_panama,false,closed,1,0,team_mexico,1955718,1955718:result,2026-06-10T18:30:00+08:00
recent_result_1966437,Int. Friendly,2026,2026-01-26T00:00:00+00:00,team_uzbekistan,team_china,false,closed,2,2,team_china,1966437,1966437:result,2026-06-10T23:10:00+08:00
